data_collector,person_id,side,mkey,mvalue,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,right,elbow.armpit,8,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,left,elbow.armpit,8,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,right,arm.reach,82,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,left,arm.reach,82,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,NA,arm.span,67.5,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,right,foot.length,9.75,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,left,foot.length,9.75,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,right,floor.kneepit,17.75,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,left,floor.kneepit,17.75,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,right,floor.hip,36.25,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,left,floor.hip,36.25,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,NA,floor.navel,39.125,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,right,floor.armpit,50.25,,,,,,,,,
 e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,left,floor.armpit,50.25,,,,,,,,,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,NA,height,68,,,,,,,,,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,NA,head.height,8.5,,,,,,,,,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,NA,head.circumference,22.25,,,,,,,,,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,right,hand.length,7.25,,,,,,,,,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,left,hand.length,7.25,,,,,,,,,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,right,hand.width,8,,,,,,,,,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,left,hand.width,8,,,,,,,,,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,right,hand.elbow,17,,,,,,,,,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,left,hand.elbow,17,,,,,,,,,
